PRODUCT NAME,HSN CODE,UOM,MRP,COST,GST,RETAIL,WHOLESALE,SUPPLIER,RACK,INITIAL STK,STATUS
ACE 155 WL-BK 6W-WW,9405,PC,1050,595,18%,755,650,CHANDAN LITES,,1,AVAILABLE
ACE 155 WL-BK 9W-WW,9405,PC,1430,810,18%,1030,880,CHANDAN LITES,,1,AVAILABLE
ACE 570-4W SCALE 1FEET-WH,9405,PC,350,198,18%,250,215,CHANDAN LITES,,1,AVAILABLE
ACE 570-8W SCALE 2FEET-WH,9405,PC,500,283,18%,360,310,CHANDAN LITES,,1,AVAILABLE
ACE 570-12W SCALE 3FEET-WH,9405,PC,700,396,18%,500,435,CHANDAN LITES,,1,AVAILABLE
ACE 570-18W SCALE 4FEET-WH,9405,PC,1000,566,18%,720,620,CHANDAN LITES,,1,AVAILABLE
ACE 570-4W SCALE 1FEET-WW,9405,PC,350,198,18%,250,215,CHANDAN LITES,,1,AVAILABLE
ACE 570-8W SCALE 2FEET-WW,9405,PC,500,283,18%,360,310,CHANDAN LITES,,1,AVAILABLE
ACE 570-12W SCALE 3FEET-WW,9405,PC,700,396,18%,500,435,CHANDAN LITES,,1,AVAILABLE
ACE 570-18W SCALE 4FEET-WW,9405,PC,1000,566,18%,720,620,CHANDAN LITES,,1,AVAILABLE
ACE WOODY-6W-WW,9405,PC,700,396,18%,500,435,CHANDAN LITES,,1,AVAILABLE
ACE WOODY-12W-WW,9405,PC,1050,595,18%,755,650,CHANDAN LITES,,1,AVAILABLE
ACE 020-7W CUBE-WW,9405,PC,610,346,18%,440,380,CHANDAN LITES,,1,AVAILABLE
ACE 020-12W CUBE-WW,9405,PC,720,408,18%,520,445,CHANDAN LITES,,1,AVAILABLE
ACE 020-18W CUBE-WW,9405,PC,970,549,18%,700,600,CHANDAN LITES,,1,AVAILABLE
ACE LUX 8W-3IN1 MIRR.LITE,9405,PC,1150,651,18%,830,710,CHANDAN LITES,,1,AVAILABLE
ACE 675 6W-WH MIRR.LITE,9405,PC,900,510,18%,650,560,CHANDAN LITES,,1,AVAILABLE
ACE 675 6W-WW MIRR.LITE,9405,PC,900,510,18%,650,560,CHANDAN LITES,,1,AVAILABLE
ACE 675 6W-3IN1 MIRR.LITE,9405,PC,1050,595,18%,750,650,CHANDAN LITES,,1,AVAILABLE
ACE 876 6W-WH MIRR.LITE,9405,PC,950,538,18%,685,590,CHANDAN LITES,,1,AVAILABLE
ACE 876 6W-WW MIRR.LITE,9405,PC,950,538,18%,685,590,CHANDAN LITES,,1,AVAILABLE
ACE 876 12W-WH MIRR.LITE,9405,PC,1350,765,18%,970,840,CHANDAN LITES,,1,AVAILABLE
ACE 876 12W-WW MIRR.LITE,9405,PC,1350,765,18%,970,840,CHANDAN LITES,,1,AVAILABLE
ACE 775-BK-RG-WH MIRR.LITE,9405,PC,1150,651,18%,830,710,CHANDAN LITES,,1,AVAILABLE
ACE RIO 36W BATTEN,9405,PC,830,470,18%,600,515,CHANDAN LITES,,1,AVAILABLE
ACE BRIO 50W BATTEN,9405,PC,2000,1133,18%,1440,1240,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 20W-WH,9405,PC,800,453,18%,575,495,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 20W-WW,9405,PC,800,453,18%,575,495,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 30W-WW,9405,PC,950,538,18%,685,590,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 30W-WH,9405,PC,950,538,18%,685,590,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 50W-WH,9405,PC,1200,680,18%,865,745,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 50W-WW,9405,PC,1200,680,18%,865,745,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 100W-WW,9405,PC,2200,1246,18%,1585,1365,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 100W-WH,9405,PC,2200,1246,18%,1585,1365,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 200W-WH,9405,PC,4400,2492,18%,3200,2700,CHANDAN LITES,,1,AVAILABLE
ACE LEXON 200W-WW,9405,PC,4400,2492,18%,3200,2700,CHANDAN LITES,,1,AVAILABLE
ACE LUCA 50W-WH,9405,PC,1700,963,18%,1225,1050,CHANDAN LITES,,1,AVAILABLE
ACE LUCA 50W-WW,9405,PC,1700,963,18%,1225,1050,CHANDAN LITES,,1,AVAILABLE
ACE LUCA 20W-WH,9405,PC,1200,680,18%,860,745,CHANDAN LITES,,1,AVAILABLE
ACE LUCA 20W-WW,9405,PC,1200,680,18%,860,745,CHANDAN LITES,,1,AVAILABLE
ACE LUCA 30W-WH,9405,PC,1400,793,18%,1000,870,CHANDAN LITES,,1,AVAILABLE
ACE LUCA 30W-WW,9405,PC,1400,793,18%,1000,870,CHANDAN LITES,,1,AVAILABLE
ACE LUCA 100W-WH,9405,PC,2900,1643,18%,2100,1800,CHANDAN LITES,,1,AVAILABLE
ACE LUCA 100W-WW,9405,PC,2900,1643,18%,2100,1800,CHANDAN LITES,,1,AVAILABLE
ACE SOLAR SR-20W-WH,9405,PC,3300,1869,18%,2375,2050,CHANDAN LITES,,1,AVAILABLE
ACE SOLAR SR-40W-WH,9405,PC,4100,2322,18%,2950,2550,CHANDAN LITES,,1,AVAILABLE
ACE SOLAR SR-60W-WH,9405,PC,5400,3059,18%,3850,3350,CHANDAN LITES,,1,AVAILABLE
ACE AP-04 4WAY-WW,9405,PC,1000,566,18%,720,620,CHANDAN LITES,,1,AVAILABLE
ACE 4820-8WAY-WW,9405,PC,2000,1133,18%,1440,1240,CHANDAN LITES,,1,AVAILABLE
ACE 3051 BULKET-12W-WW,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE 5007-RGB 4WAY SQ,9405,PC,2700,1529,18%,1940,1675,CHANDAN LITES,,1,AVAILABLE
